,Twitter sessions,Twitter clicks
2021-01-10,28617.285714285714,3991.8571428571427
2021-01-11,28927.571428571428,3825.8571428571427
2021-01-12,27862.285714285714,3740.0
2021-01-13,27220.0,3784.4285714285716
2021-01-14,27914.285714285714,3432.285714285714
2021-01-15,26356.428571428572,3492.0
2021-01-16,21862.285714285714,3358.5714285714284
2021-01-17,20187.428571428572,3178.8571428571427
2021-01-18,20502.714285714286,3083.714285714286
2021-01-19,19728.85714285714,2958.4285714285716
2021-01-20,18446.571428571428,2913.285714285714
2021-01-21,19669.0,2815.1428571428573
2021-01-22,19712.571428571428,2937.0
2021-01-23,20423.714285714286,2546.714285714286
2021-01-24,21546.571428571428,2892.8571428571427
2021-01-25,20637.0,3340.714285714286
2021-01-26,21810.571428571428,3382.5714285714284
2021-01-27,22461.571428571428,3290.5714285714284
2021-01-28,23094.571428571428,3294.8571428571427
2021-01-29,26367.571428571428,3448.285714285714
2021-01-30,27607.714285714286,4024.8571428571427
2021-01-31,27192.0,4234.714285714285
2021-02-01,28961.428571428572,3911.1428571428573
2021-02-02,28973.428571428572,3945.0
2021-02-03,28392.428571428572,4196.0
2021-02-04,29499.571428571428,5004.142857142857
2021-02-05,28373.714285714286,4917.285714285715
2021-02-06,26940.14285714286,4310.571428571428
2021-02-07,28198.85714285714,4139.142857142857
2021-02-08,26510.714285714286,4145.285714285715
2021-02-09,26760.285714285714,4160.714285714285
2021-02-10,26820.714285714286,3922.714285714286
2021-02-11,25915.714285714286,3455.0
2021-02-12,25364.14285714286,3496.4285714285716
2021-02-13,27007.714285714286,4979.285714285715
2021-02-14,26214.85714285714,4866.285714285715
2021-02-15,28696.428571428572,5643.714285714285
2021-02-16,29142.571428571428,6294.142857142857
2021-02-17,29562.571428571428,6720.857142857143
2021-02-18,30422.571428571428,6571.0
2021-02-19,29444.428571428572,6372.571428571428
2021-02-20,29009.0,6076.857142857143
2021-02-21,29647.714285714286,6755.0
2021-02-22,27864.0,6091.857142857143
2021-02-23,27742.0,5584.571428571428
2021-02-24,28230.85714285714,5556.857142857143
2021-02-25,27366.0,6292.714285714285
2021-02-26,27382.85714285714,6283.714285714285
2021-02-27,27240.428571428572,5542.0
2021-02-28,26273.14285714286,5412.142857142857
2021-03-01,26665.428571428572,5619.571428571428
2021-03-02,28688.571428571428,6228.0
2021-03-03,29868.14285714286,5872.571428571428
2021-03-04,29205.85714285714,5234.142857142857
2021-03-05,30208.85714285714,6376.857142857143
2021-03-06,29168.14285714286,7616.142857142857
2021-03-07,29508.428571428572,8145.142857142857
2021-03-08,31431.571428571428,9896.142857142857
2021-03-09,33028.57142857143,10480.857142857143
2021-03-10,35468.857142857145,12292.714285714286
2021-03-11,39001.142857142855,14402.285714285714
2021-03-12,41551.142857142855,14590.714285714286
2021-03-13,44159.57142857143,14273.0
2021-03-14,59885.0,14005.0
2021-03-15,61989.142857142855,13086.857142857143
2021-03-16,62194.71428571428,14253.0
2021-03-17,63396.71428571428,15013.285714285714
2021-03-18,66486.14285714286,19195.571428571428
2021-03-19,64920.857142857145,20670.285714285714
2021-03-20,64174.71428571428,22244.14285714286
2021-03-21,50156.42857142857,23235.714285714286
2021-03-22,49591.42857142857,26338.85714285714
2021-03-23,47012.0,25949.714285714286
2021-03-24,42783.42857142857,24682.285714285714
2021-03-25,36772.57142857143,20577.85714285714
2021-03-26,40383.857142857145,21007.714285714286
2021-03-27,40960.57142857143,20322.285714285714
2021-03-28,41927.42857142857,21597.85714285714
2021-03-29,39508.42857142857,18470.714285714286
2021-03-30,39372.857142857145,17904.0
2021-03-31,39053.71428571428,18308.428571428572
2021-04-01,37036.0,16771.14285714286
2021-04-02,31641.571428571428,14572.714285714286
2021-04-03,29814.571428571428,13421.0
2021-04-04,28279.571428571428,12714.714285714286
2021-04-05,28244.714285714286,12661.42857142857
2021-04-06,28747.428571428572,12402.57142857143
2021-04-07,29806.714285714286,12222.0
2021-04-08,32114.14285714286,13077.714285714286
2021-04-09,35214.0,15546.57142857143
2021-04-10,37017.142857142855,16865.0
2021-04-11,37614.28571428572,16305.857142857143
2021-04-12,35938.142857142855,16200.285714285714
2021-04-13,36140.28571428572,18814.285714285714
2021-04-14,36856.57142857143,19868.428571428572
2021-04-15,37475.857142857145,19712.0
2021-04-16,36454.71428571428,18996.714285714286
2021-04-17,35120.57142857143,18506.85714285714
2021-04-18,34952.42857142857,18219.85714285714
2021-04-19,36206.142857142855,18680.571428571428
2021-04-20,34784.142857142855,16602.14285714286
2021-04-21,32769.57142857143,15269.0
2021-04-22,30890.85714285714,14472.285714285714
2021-04-23,29716.714285714286,12465.42857142857
2021-04-24,28794.14285714286,12163.857142857143
2021-04-25,27312.571428571428,11773.0
2021-04-26,30523.428571428572,11558.285714285714
2021-04-27,31744.85714285714,11910.142857142857
2021-04-28,31467.428571428572,11790.42857142857
2021-04-29,33746.57142857143,12274.714285714286
2021-04-30,33709.857142857145,12315.57142857143
2021-05-01,33203.42857142857,
2021-05-02,33471.142857142855,
2021-05-03,29297.0,
2021-05-04,26804.85714285714,
2021-05-05,27409.14285714286,
2021-05-06,24836.0,
2021-05-07,24176.571428571428,
2021-05-08,25786.285714285714,
2021-05-09,28126.14285714286,
2021-05-10,29491.14285714286,
2021-05-11,30412.85714285714,
2021-05-12,29710.571428571428,
2021-05-13,29653.285714285714,
2021-05-14,28861.85714285714,
2021-05-15,28419.0,
2021-05-16,27395.285714285714,
2021-05-17,26035.571428571428,
2021-05-18,27148.428571428572,
2021-05-19,28122.714285714286,
2021-05-20,28524.428571428572,
2021-05-21,28157.714285714286,
2021-05-22,27912.428571428572,
2021-05-23,31170.0,
2021-05-24,33543.28571428572,
2021-05-25,32350.428571428572,
